#
# Unicode mapping for JIS C 6226:1978 (retronymously JIS X 0208:1978) with NEC PC98 extensions.
# Amended 2019-02 with additional deviations from modern mappings to fully use the closest matches
#   in the 1990-JIS (including JIS X 0212) repertoire (although U+663B/U+6602 were still their
#   Microsoft way around, as an oversight on my part).
# Further amended 2021-08-05 to swap U+663B/U+6602 and use some closer 2004-JIS and other characters:
#   20-34: now U+3D4E, was U+6F97
#   25-23: now U+663B, was U+6602 (compare 90-22)
#   26-84: now U+6805 (GB 2312), was U+67F5
#   32-70: now U+87EC (2000-JIS level 3), was U+8749
#   34-45: now U+9A52 (2000-JIS level 3), was U+9A28
#   35-29: now U+7C1E (2000-JIS level 3), was U+7BAA
#   39-77: now U+525D (2004-JIS level 3), was U+5265
#   53-67: now U+21A1A, was U+5BC3
#   54-02: now U+5C5B (2004-JIS level 3), was U+5C4F
#   90-22: now U+6602, was U+663B (compare 25-23)
# Further amended 2021-08-12 referencing NEC-specific CIDs, double-checked against bitmap font:
#   17-28: kept as U+958F; changing to U+28CDD per CID map is not justified by bitmap font
#   23-46: now U+25874, was U+7A3D
#   23-53: now U+8346, was U+834A
#   23-68: now U+28EF6, was U+9699
#   59-42: now U+67FA, was U+67B4
#   59-84: now U+688E, was U+688D
#   63-83: kept as U+71D7; changing to U+243D0 per CID map is not justified by bitmap font
#   73-28: kept as U+85DC; changing to U+853E per CID map is not justified by bitmap font
#   80-19: kept as U+96CE; changing to U+7762 per CID map is not justified by bitmap font
#
# NEC's double byte character set makes substantial use of halfwidth-fullwidth distinctions which
# cannot be represented in Unicode. Following a convention established by Apple, W (naturally wide)
# or A (ambiguous width) codepoints followed by the private use codepoint f87f indicate halfwidth.
#
0x2367	U+ff47	# 3-71, FULLWIDTH LATIN SMALL LETTER G
0x2368	U+ff48	# 3-72, FULLWIDTH LATIN SMALL LETTER H
0x2369	U+ff49	# 3-73, FULLWIDTH LATIN SMALL LETTER I
0x236a	U+ff4a	# 3-74, FULLWIDTH LATIN SMALL LETTER J
0x236b	U+ff4b	# 3-75, FULLWIDTH LATIN SMALL LETTER K
0x236c	U+ff4c	# 3-76, FULLWIDTH LATIN SMALL LETTER L
0x236d	U+ff4d	# 3-77, FULLWIDTH LATIN SMALL LETTER M
0x236e	U+ff4e	# 3-78, FULLWIDTH LATIN SMALL LETTER N
0x236f	U+ff4f	# 3-79, FULLWIDTH LATIN SMALL LETTER O
0x2370	U+ff50	# 3-80, FULLWIDTH LATIN SMALL LETTER P
0x2371	U+ff51	# 3-81, FULLWIDTH LATIN SMALL LETTER Q
0x2372	U+ff52	# 3-82, FULLWIDTH LATIN SMALL LETTER R
0x2373	U+ff53	# 3-83, FULLWIDTH LATIN SMALL LETTER S
0x2374	U+ff54	# 3-84, FULLWIDTH LATIN SMALL LETTER T
0x2375	U+ff55	# 3-85, FULLWIDTH LATIN SMALL LETTER U
0x2376	U+ff56	# 3-86, FULLWIDTH LATIN SMALL LETTER V
0x2377	U+ff57	# 3-87, FULLWIDTH LATIN SMALL LETTER W
0x2378	U+ff58	# 3-88, FULLWIDTH LATIN SMALL LETTER X
0x2379	U+ff59	# 3-89, FULLWIDTH LATIN SMALL LETTER Y
0x237a	U+ff5a	# 3-90, FULLWIDTH LATIN SMALL LETTER Z
0x2421	U+3041	# 4-1, HIRAGANA LETTER SMALL A
0x2422	U+3042	# 4-2, HIRAGANA LETTER A
0x2423	U+3043	# 4-3, HIRAGANA LETTER SMALL I
0x2424	U+3044	# 4-4, HIRAGANA LETTER I
0x2425	U+3045	# 4-5, HIRAGANA LETTER SMALL U
0x2426	U+3046	# 4-6, HIRAGANA LETTER U
0x2427	U+3047	# 4-7, HIRAGANA LETTER SMALL E
0x2428	U+3048	# 4-8, HIRAGANA LETTER E
0x2429	U+3049	# 4-9, HIRAGANA LETTER SMALL O
0x242a	U+304a	# 4-10, HIRAGANA LETTER O
0x242b	U+304b	# 4-11, HIRAGANA LETTER KA
0x242c	U+304c	# 4-12, HIRAGANA LETTER GA
0x242d	U+304d	# 4-13, HIRAGANA LETTER KI
0x242e	U+304e	# 4-14, HIRAGANA LETTER GI
0x242f	U+304f	# 4-15, HIRAGANA LETTER KU
0x2430	U+3050	# 4-16, HIRAGANA LETTER GU
0x2431	U+3051	# 4-17, HIRAGANA LETTER KE
0x2432	U+3052	# 4-18, HIRAGANA LETTER GE
0x2433	U+3053	# 4-19, HIRAGANA LETTER KO
0x2434	U+3054	# 4-20, HIRAGANA LETTER GO
0x2435	U+3055	# 4-21, HIRAGANA LETTER SA
0x2436	U+3056	# 4-22, HIRAGANA LETTER ZA
